level,region,date,recovered,suspected,confirmed,total_quarantined,cumulative_quarantined,total_tested,active_cases
national,,2020-03-27T14:15:22.000Z,2,179,8,,,,
regional,Kunene,2020-03-27T14:15:22.000Z,0,0,0,,,,
regional,Omusati,2020-03-27T14:15:22.000Z,0,0,0,,,,
regional,Oshana,2020-03-27T14:15:22.000Z,0,0,0,,,,
regional,Ohangwena,2020-03-27T14:15:22.000Z,0,0,0,,,,
regional,Oshikoto,2020-03-27T14:15:22.000Z,0,0,0,,,,
regional,Kavango West,2020-03-27T14:15:22.000Z,0,0,0,,,,
regional,Kavango East,2020-03-27T14:15:22.000Z,0,0,0,,,,
regional,Zambezi,2020-03-27T14:15:22.000Z,0,0,0,,,,
regional,Erongo,2020-03-27T14:15:22.000Z,0,0,1,,,,
regional,Otjozondjupa,2020-03-27T14:15:22.000Z,0,0,0,,,,
regional,Omaheke,2020-03-27T14:15:22.000Z,0,0,0,,,,
regional,Khomas,2020-03-27T14:15:22.000Z,2,179,6,,,,
regional,Hardap,2020-03-27T14:15:22.000Z,0,0,0,,,,
regional,Karas,2020-03-27T14:15:22.000Z,0,0,1,,,,
regional,Kunene,2020-03-28T21:48:22.000Z,0,1,0,,,,
regional,Omusati,2020-03-28T21:48:22.000Z,0,0,0,,,,
regional,Oshana,2020-03-28T21:48:22.000Z,0,1,0,,,,
regional,Ohangwena,2020-03-28T21:48:22.000Z,0,1,0,,,,
regional,Oshikoto,2020-03-28T21:48:22.000Z,0,2,0,,,,
regional,Kavango West,2020-03-28T21:48:22.000Z,0,0,0,,,,
regional,Kavango East,2020-03-28T21:48:22.000Z,0,3,0,,,,
regional,Zambezi,2020-03-28T21:48:22.000Z,0,0,0,,,,
regional,Erongo,2020-03-28T21:48:22.000Z,0,8,2,,,,
regional,Otjozondjupa,2020-03-28T21:48:22.000Z,0,13,0,,,,
regional,Omaheke,2020-03-28T21:48:22.000Z,0,1,0,,,,
regional,Khomas,2020-03-28T21:48:22.000Z,2,172,8,,,,
regional,Hardap,2020-03-28T21:48:22.000Z,0,8,0,,,,
regional,Karas,2020-03-28T21:48:22.000Z,0,4,1,,,,
national,,2020-03-28T21:48:22.000Z,2,213,11,,,,
national,,2020-04-01T14:20:22.000Z,2,306,13,,,,
national,,2020-04-02T18:20:22.000Z,3,306,14,,,,
national,,2020-04-05T10:11:22.000Z,1,362,16,301,,,15
regional,Khomas,2020-04-05T10:14:22.000Z,3,176,11,,,,
national,,2020-04-07T12:00:22.000Z,3,306,16,318,,,13
regional,Erongo,2020-04-10T15:00:22.000Z,0,21,4,,,,
regional,Hardap,2020-04-10T15:00:22.000Z,0,9,0,,,,
regional,Kavango West,2020-04-10T15:00:22.000Z,0,1,0,,,,
